,"Cultivo_de_cereales,_oleaginosas_y_forrajeras","Cultivo_de_hortalizas,_legumbres,_flores_y_plantas_ornamentales",Cultivo_de_frutas_y_nueces,Cultivos_industriales,Produccion_de_semillas,"Cria_de_ganado_y_produccion_de_leche,_lana_y_pelos",Produccion_de_granja,Servicios_agropecuarios,Caza,Silvicultura_y_extraccion_de_madera,Pesca,"Extraccion_de_petroleo,_gas,_carbon_y_uranio",Extraccion_de_minerales_metaliferos,Extraccion_de_otros_minerales,"Matanza_de_animales,_conservacion_y_procesamiento_de_carnes",Elaboracion_y_conservacion_de_pescado_y_productos_de_pescado,"Elaboracion_y_conservacion_de_frutas,_legumbres_y_hortalizas",Aceites_y_subproductos_oleaginosos,Productos_lacteos,Molienda_de_trigo_y_de_otros_cereales,Alimentos_balanceados,Productos_de_panaderia,Azucar,"Cacao,_chocolate_y_productos_de_confiteria",Pastas_alimenticias,Otros_productos_alimenticios,Bebidas_alcoholicas,Produccion_vitivinicola,Cerveza_y_malta,"Gaseosas,_agua_mineral_y_otras_bebidas_no_alcoholicas",Productos_de_tabaco,"Fibras,_hilados_y_tejeduria_de_productos_textiles",Acabado_de_productos_textiles,Fabricacion_de_productos_textiles,Tejidos_de_punto,"Prendas_de_vestir,_terminacion_y_tenido_de_pieles",Curtido_y_terminacion_de_cueros,Marroquineria_y_talabarteria,Calzado_y_sus_partes,Aserraderos,Madera_y_sus_productos,Celulosa_y_papel,Papel_y_carton_ondulado_y_envases_de_papel_y_carton,Productos_de_papel_y_carton,"Edicion_de_libros,_folletos,_grabaciones_y_otras_ediciones",Edicion_de_periodicos_y_revistas,Impresiones_y_reproduccion_de_grabaciones,Refinacion_de_petroleo,Quimica_basica,Fertilizantes_y_plaguicidas,Materias_primas_plasticas_y_caucho_sintetico,Pinturas_y_barnices,Productos_medicinales,"Jabones,_detergentes_y_cosmeticos",Otros_productos_quimicos,Fibras_sinteticas_manufacturadas,"Cubiertas,_camaras_y_recauchutado_de_cubiertas",Productos_de_caucho,Productos_de_plastico,Vidrio_y_productos_de_vidrio,Productos_de_ceramica_refractaria_y_no_refractaria_para_uso_no_estructural,Arcilla_y_ceramica_no_refractaria_para_uso_estructural,"Cemento,_cal_y_yeso","Articulos_de_hormigon,_cemento_y_yeso",Industrias_basicas_de_hierro_y_acero,Metalurgia_de_no_ferrosos,Fundicion_de_metales,"Estructuras_metalicas,_tanques,_depositos_y_generadores_de_vapor","Forja,_laminado_y_tratamiento_de_metales",Articulos_de_cuchilleria_y_ferreteria_y_herramientas_de_mano,Otros_productos_metalicos,"Motores,_turbinas,_bombas_y_compresores","Engranajes,_hornos,_elevadores_y_otras_maquinarias_de_uso_general",Tractores_y_maquinaria_agricola,Otra_maquinaria_de_uso_especial,Aparatos_de_uso_domestico,Maquinas_de_oficina_e_informatica,"Motores,_generadores_y_transformadores_electricos",Aparatos_de_control_y_distribucion_de_energia_electrica,Hilos_y_cables_aislados,Acumuladores_y_pilas,Lamparas_electricas_y_equipos_de_iluminacion,"Tubos_y_transmisores_de_radio,_TV_y_telefonia",Receptores_de_radio_y_TV,"Instrumentos_medicos,_opticos_y_de_precision_y_relojes",Vehiculos_automotores,Carrocerias_y_remolques,Autopartes,"Buques,_locomotoras_y_aeronaves","Motocicletas,_bicicletas_y_otros_tipos_de_transportes",Muebles_y_colchones,Otras_industrias_manufactureras,Electricidad,Gas,Agua,Construccion,Comercio_mayorista,Comercio_minorista,Hoteles,Restaurantes,Transporte_terrestre_de_pasajeros,Transporte_terrestre_de_carga,Transporte_por_tuberias,Transporte_maritimo,Transporte_aereo,Actividades_de_transporte_complementarias,Correos,Telecomunicaciones,Instituciones_Financieras,Seguros,Servicios_a_las_empresas_y_profesionales,Actividades_inmobiliarias,Administracion_publica_y_defensa_y_planes_de_la_seguridad_social_de_afiliacion_obligatoria,Ensenanza_publica,Ensenanza_privada,Salud_humana_publica,Salud_humana_privada,Servicios_veterinarios,Servicios_sociales,Servicios_de_saneamiento,Actividad_de_asociaciones,"Servicios_de_cine,_radio_y_television","Servicios_personales,_de_reparacion,_actividades_deportivas_y_de_esparcimiento",Servicio_domestico,DEMANDA_INTERMEDIA,BIENES,SERVICIOS,X,C_HOG,T_HOG,SUBTOTAL_HOGARES,C_ONG,C_GOB,C_TOT,IBIF,VARSTOCK,I_TOT,DF_TOT,D_TOT,CIFFOB,D_TOTAJU
"Cultivo_de_cereales,_oleaginosas_y_forrajeras",59472.62872,0,8886.925791,9226.358494,0,1046998.203,70678.91626,0,0,0,0,0,0,0,814.5161536,0,0,3321792.702,2183.530189,935145.1737,199199.4498,1602.422544,0,33979.94035,8268.445336,10042.00798,0,0,30821.309,648.3538402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312.347431,0,0,65.87598792,2132.82198,0,0,0,0,0,0,0,0,0,0,0,0,429.856138,218.7120271,462.9254135,42.94275311,242.8078488,70.99773166,0,0,0,0.005789183,18767.82058,0,5763507.997,2174164.89,0,2174164.89,4188.94051,55.62866353,4244.569174,0,0,4244.569174,46851.34715,181657.2105,228508.5576,2406918.017,8170426.014,0,8170426.014
"Cultivo_de_hortalizas,_legumbres,_flores_y_plantas_ornamentales",0,93225.58106,5332.155475,0,0,0,0,0,0,0,0.264531229,0,0,0,2222.386568,0,201991.9825,15957.19153,176.051025,531.5984354,0,3452.211912,187.8454448,576.2058701,12050.09471,28697.13578,12.51842131,0,0,33.4191848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.9876951,0,407.3893229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.3705233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3686.797069,120658.2194,0,6.488128755,0,0,0,0,0,0,0,0,17.80436069,0,2325.929242,3166.138251,6706.737928,1222.244206,4969.112809,0,690.3047027,0,4459.062418,0.689568244,44203.74986,0,557481.6679,287184.8482,0,287184.8482,656963.7569,3780.942901,660744.6998,0,0,660744.6998,79885.6255,17661.64157,97547.26707,1045476.815,1602958.483,0,1602958.483
Cultivo_de_frutas_y_nueces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2856.454478,0,241791.8092,0,2024.586788,0,0,18785.40581,2160.222616,6626.367507,0,399.2242152,143.9618451,21614.13802,0,303.1862324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4684.977213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647.885371,89006.44064,0,0,0,0,0,0,0,0,0,0,0,0,2090.762122,1559.681862,3301.219731,4510.595931,2406.392637,0,667.5315368,0,0,0.060228748,2.416986274,0,407583.321,141012.1704,0,141012.1704,110893.2081,659.6030427,111552.8111,0,0,111552.8111,95840.70503,62516.27075,158356.9758,410921.9574,818505.2783,0,818505.2783
Cultivos_industriales,0,0,0,31984.4415,0,0,0,0,0,0,0,0,0,0,0,0,48481.80044,19313.58775,0,0,0,0,198561.6104,0,0,107669.758,0,410668.6224,2710.434672,0,309464.1924,453570.3871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582424.835,93482.32466,0,93482.32466,56113.30208,382.9185097,56496.22059,0,0,56496.22059,158130.85,-14878.15336,143252.6966,293231.2419,1875656.077,0,1875656.077
Produccion_de_semillas,560147.4557,11711.42534,21328.6219,12341.09793,15549.3421,91462.78169,1638.70854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073.738807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715253.172,82023.55682,0,82023.55682,109.6817861,0.029786325,109.7115724,0,0,109.7115724,0,11326.25816,11326.25816,93459.52656,808712.6986,0,808712.6986
"Cria_de_ganado_y_produccion_de_leche,_lana_y_pelos",0,0,0,0,0,1100460.43,2663.309864,0,0,0,0,18.19343634,0,0,4066080.878,278.790096,26.60469852,0,1588649.634,0,0,1049.708634,0,0,81.75340754,179.0895371,0,0,0,0,0,112672.9912,0,0,0,0,0,815.5146832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2727.543932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.5580303,0,0,0,0,0,0,0,0,0,0,0,0,2682.588687,524.3864588,1109.915383,546.5816177,776.9023827,16.65629074,0,0,0,0.110118889,0,0,6881641.141,62057.09986,0,62057.09986,395853.4726,59650.74957,455504.2222,0,0,455504.2222,454311.6494,-29850.39112,424461.2582,942022.5803,7823663.721,0,7823663.721
Produccion_de_granja,0,0,0,0,0,657.442229,266837.417,0,0,0,0,0,0,0,891945.2149,0,150.7599583,0,4460.70896,0,0,19944.46404,0,964.2806554,6731.030554,11760.21294,0,0,0,0,0,1904.319033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97903614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.3600565,9039.042981,0,0,0,0,0,0.351737205,0,0,0,0,0,0,0,14.80974742,57.32149347,22.93950604,0,0.073786916,0,0,0,0,0,0,1214788.729,86848.06658,0,86848.06658,249343.1037,0,249343.1037,0,0,249343.1037,46075.25463,29600.71724,75675.97187,411867.1422,1626655.871,0,1626655.871
Servicios_agropecuarios,908597.2431,11296.26248,7.457994081,66301.73261,26089.6494,67538.34962,0,544.4657418,0,0,2361.761737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9626.214121,0,0,0,0,0,0,0,0,0,0,0,1092363.137,0,0,0,0,0,0,0,0,0,0,0,0,0,1092363.137,0,1092363.137
Caza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11889.55703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10282.79215,11880.59574,203.8786708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34256.82359,70.29677513,0,70.29677513,195.3712584,0,195.3712584,0,0,195.3712584,0,37.88980994,37.88980994,303.5578435,34560.38143,0,34560.38143
Silvicultura_y_extraccion_de_madera,0,2077.005012,2593.802332,0.377348558,0,2.26723214,0.186701748,0,0,90243.30513,260.7959598,0.038932992,0,0,0,13.90145969,70.85378322,0,0,0,0.996449121,0,0,90.25324438,0,0,0,0,0,249.2452945,0,0,0,130.4789304,0,30.48810503,0,0,0,114213.6348,82916.25731,44861.00666,172.848782,0,0,0,0,0,149.5149501,230.7421073,81.53864724,0,1373.211042,125.9480128,6717.905492,0,0,0,0,0,0,64.51788675,844.4536754,6.254695311,0,3.805566277,0,0,0,0,0,4.870873434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.05915,755.10373,0,0,0,408.6641606,0,0,71.47855842,2767.526954,0,0,0,0,0,0,0,0,0,0,0,0,21.0588155,2.105966487,4.457481933,0.474741195,0,0,0,0,0,0.050086761,732.6111303,0,352523.0972,30562.56592,0,30562.56592,30653.35805,43.34089187,30696.69894,0,0,30696.69894,36502.38999,14004.95128,50507.34127,111766.6061,464289.7034,0,464289.7034
